ID,Like,Comment
             Emily Gutierrez           ,20000.0,Why is no one talking about the mv??We got them trending good job blinks let's continue helping our queens rise higher and show the hater that they're wrong
             Jessie Simon           ,42000.0,i feel like the beat and the lyrics are appealing to both men and women - not all songs are like that. (EDIT: since the haters are keen on misunderstanding for the sake of flack. In no way did I imply that certain genders cannot listen to a certain type of song. But if that's what you understood from this comment then go cry to your mommy LOL)
             ONLY AR           ,64000.0,BLACKPINK - ‘How You Like That’ has been certified 3x Platinum on QQ Music. It’s now the fastest Korean song to do so
             unscaryjisoo           ,52000.0,"I actually cried, I was waiting for this comeback since yg announced it. I’m so happy rn-Edit: How the heck did I get 5.2k likes in 2 hours I’m so surprised-Edit 2: how the actual heck, did I get 45k likes dude- :’)"
             Sameera Badarudheen           ,9.0,Stream harder atleast upto 30 days(December 31)Please!
             turtle rabbit           ,9.0,WE NEED TO GET 764 TODAY!!!!!
             iu_jieuniee           ,9300.0,"Let’s get this to the first most viewed mv in 24hours!!Edit: We did it Blinks!!!! Now our goal is 100M!!2nd Edit: WOW 100M is achieved, next goal would be 200M, shouldn’t be long before our goal reaches 1 Billion!!3rd Edit: Omg, it's alr 200M, is gonna reach 300M quick:)!!4th Edit: It's alr 300M I dunno how long it will take for me to edit again!:)5th Edit: 400M!!!! YEAHHH6th Edit: It's 500MMM, kinda wish it can reach 1B fast:)7th Edit: wanted to edit when it's 1B but people been chasing me so I guess it's time for 600M:)"
             Ceci k           ,19000.0,THESE QUEENS ARE EVERYTHING
             Lara Aura Larios Licea           ,8.0,JENNIE
             Rahma Assifa 9.10_MT           ,24000.0,"Dear Blinks,I'm truly sorry on the behalf of the anti's that are commenting on this video. In my perspective, I think that haters/anti's are just trying to spam continuously on both Stay Gold and How You Like That M/V's to make us think that us fandoms are the ones behind it. As a true Army, We never even planned on sabotaging your goals and still respected you guys and BP. So please, dont blame this on us and just report them.  But I saw some part of your fandom thinking that we are the one's behind this and started commenting the same thing to get ""revenge"", and I really don't think that's acceptable and it's just making your fandom's reputation go down. All i'm asking is to just realize that neither of us are a part of this and that it's the haters fault who started this whole chaos, thank you.From, Army+No fanwars please :(+And no, i'm not saying that the ""toxic one's"" are Armies, but K-pop Haters I hope you understand..+Don't post a link to your video please my comment is not a promotion market :v"
             adinda naura           ,3300.0,JISOO
             jjinnjin yeah           ,56000.0,Don't like me? Then tell me how you like that - Blackpink
             tuong nguyen           ,7400.0,Việt nam điểm danh nào
             Sharlene Fuentes           ,27000.0,79M views in 22hrsJennie to haters: with a smile on my face I'll KISS you goodbye!!!Edited: (1)86.3M views in 24hrsCONGRATULATIONS EVERYONE!!!CONGRATULATIONS BLACKPINK!!!*Thank you guys*SPREAD LOVE NOT HATE!Keep safe y'all!!!Edited: (2)200M views in just a week!! HORAAYYYY!! Congratulations again!!!!
             Tae loves kookie           ,5600.0,I am a ARMY and I find it very rude to just hate on BP cause I stan both and like them both but people are just judgemental
             chOu GoLD           ,1700.0,i love it احبكم بلاك بينكك وينكم ياعرب
             turtle rabbit           ,7.0,PLEASE WATCH THE MV!!! THE GIRLS NEEDS US TO WIN!!!!! SO PLEASE IF YOU LIKE THEM TO WIN AN AWARD PLEASE WATCH THE MV OF HOW YOU LIKE THAT!!!
             Rifki Dhio           ,6400.0,THEY OUTFIT MORE THAN AWESOME
             Voranouth Supadulya           ,17000.0,Love the modernized traditional Korean outfits!
             Bby V           ,2300.0,Jisoo Jennie Lisa Rosé <3
             elba zurita           ,460.0,"Vamos blinks!!! Ignoren a lxs haters, nosotrxs podemos más!"
             Blinkoloji           ,10000.0,Perfect...
